Country Name,Country Code,Indicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Guam,GUM,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Lending interest rate (%),FR.INR.LEND,18.36083333,19.22,17.79333333,17.04416667,16.7675,17.10833333,17.30166667,17.0075,16.325,14.99190476,14.54166667,14.54083333,14.54097222,14.61083333,14.5825,14.54140833,14.5417,14.45140278,13.86111111,13.5,12.83333333,12.83333056,
High income,HIC,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Lending interest rate (%),FR.INR.LEND,8.5,8.75,8.5,9.5,9,8.5,9.5,5.125,5,5,5,7.75,7.75,6.75,5,5,5,5,5,5,5,5,
Honduras,HND,Lending interest rate (%),FR.INR.LEND,24.675,26.95,29.74166667,32.06666667,30.6925,30.1525,26.82416667,23.76416667,22.69142781,20.80413361,19.87640018,18.83108333,17.43666667,16.605,17.93666667,19.445,18.86466417,18.55753167,18.45069917,20.08086667,20.61221833,20.65756667,
Heavily indebted poor countries (HIPC),HPC,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,Lending interest rate (%),FR.INR.LEND,22.91085833,20.24333333,22.515,15.4675,15.7525,14.94416667,12.07333333,9.549166667,12.84,11.57666667,11.74523333,11.19111667,9.933333333,9.330833333,10.06916667,11.55416667,10.37666667,9.684166667,9.480833333,9.246666667,,,
Haiti,HTI,Lending interest rate (%),FR.INR.LEND,,24.75,38.25,27.16666667,30,28.75,31.41666667,34,34.16666667,44.20833333,48,22.25,26.36666667,23.08333333,17.81083333,17.32916667,17.48166667,11.61,8.934166667,8.7225,10.77333333,12.92333333,
Hungary,HUN,Lending interest rate (%),FR.INR.LEND,27.4,32.60833333,27.30833333,21.76666667,19.275,16.34166667,12.6,12.11666667,10.1688765,9.603423915,12.82452602,8.540945327,8.079414988,9.085947496,10.18166774,11.03686222,7.586925113,8.320381666,9.001544511,6.303912354,4.447534327,2.90249069,
IBRD only,IBD,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,IBT,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
IDA total,IDA,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,Lending interest rate (%),FR.INR.LEND,17.76,18.85166667,19.2175,21.8175,32.15416667,27.6625,18.455,18.5475,18.945,16.935,14.12416667,14.05083333,15.97916667,13.86166667,13.59833333,14.49833333,13.25166667,12.40333333,11.795,11.6575,12.605,12.6625,
IDA only,IDX,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Lending interest rate (%),FR.INR.LEND,14.75,15.45833333,15.95833333,13.83333333,13.54166667,12.54166667,12.29166667,12.08333333,11.91666667,11.45833333,10.91666667,10.75,11.1875,13.02083333,13.3125,12.1875,8.33335,10.16666667,10.60416667,10.29166667,10.25,10.00833333,
Not classified,INX,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Lending interest rate (%),FR.INR.LEND,6.134583333,6.5575,5.849166667,6.57,6.219166667,3.343333333,4.770833333,4.835833333,3.833333333,2.845833333,2.565833333,2.6475,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,16.65,16,14,12,12,12,12,11,11,11,14,,
Iraq,IRQ,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,13.28416667,13.65166667,14.48333333,19.46666667,19.495,15.62833333,13.32583333,13.60666667,13.03416667,13.12583333,,,
Iceland,ISL,Lending interest rate (%),FR.INR.LEND,10.56666667,11.58333333,12.43333333,12.89166667,12.78333333,13.3,16.8,17.95,15.36666667,11.95,12.01666667,14.77752866,17.90897982,19.29081428,20.143333,18.98765872,10.2570287,7.698072473,8.324338772,8.151666667,7.7425,7.61,
Israel,ISR,Lending interest rate (%),FR.INR.LEND,,19.946,20.534,18.076,17.574,15.290984,11.4991983,8.568603,11.8326008,8.4608048,7.1105114,7.5500477,7.7630427,6.9138938,5.7439939,4.3758469,5.2510299,5.9216952,5.2274606,4.194552422,3.586613178,3.448552608,
Italy,ITA,Lending interest rate (%),FR.INR.LEND,11.98383333,13.236,12.81833333,10.50948333,8.643108333,6.345525,7.022741667,7.28775,6.536508333,5.83035,5.506166667,5.313935,5.621779167,6.3347,6.83731,4.756666667,4.031666667,4.599166667,5.2225,5.144166667,4.866666667,4.12925,
Jamaica,JAM,Lending interest rate (%),FR.INR.LEND,49.4575,43.57666667,39.83416667,32.86416667,31.5875,27.005,23.34833333,20.6075,18.50166667,18.88666667,18.1375,17.36083333,17.6425,17.1975,16.82583333,16.4320116,20.4544536,19.50927929,17.62827224,17.71645756,17.21700864,16.97650582,
Jordan,JOR,Lending interest rate (%),FR.INR.LEND,10.445,10.6625,11.2475,12.25,12.60916667,12.32583333,11.79916667,10.93583333,10.17916667,9.296666667,8.256666667,7.606666667,8.178333333,8.676666667,9.0275,9.246666667,9.024166667,8.713333333,8.780833333,9.01,8.99,8.476666667,
Japan,JPN,Lending interest rate (%),FR.INR.LEND,4.133416667,3.505833333,2.657583333,2.448833333,2.320916667,2.160833333,2.067166667,1.969416667,1.864916667,1.822083333,1.766583333,1.676916667,1.664833333,1.88325,1.9095,1.723333333,1.598333333,1.500916667,1.4075,1.30375,1.219166667,,
Kazakhstan,KAZ,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KEN,Lending interest rate (%),FR.INR.LEND,36.24,28.79583333,33.78666667,30.245,29.49,22.38,22.33916667,19.66583333,18.45333333,16.57333333,12.53166667,12.8825,13.63553391,13.34034368,14.01693938,14.80454124,14.3715,15.04675999,19.72340665,17.31345769,16.51393071,16.08661379,
Kyrgyz Republic,KGZ,Lending interest rate (%),FR.INR.LEND,,,65.02,49.38,73.44,60.86,51.9,37.33,24.81,19.13,29.27,26.6,23.2,25.83,25.69,26.35514834,23.10862148,25.27460672,23.89862506,21.72713217,22.36143134,24.24535385,
Cambodia,KHM,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,KIR,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,Lending interest rate (%),FR.INR.LEND,10.94382387,10.89117511,10.92491209,11.16485255,11.42199003,11.2084936,11.10372304,11.07636675,10.89311858,12.21640644,10.2524674,10.0349577,9.300752817,9.278149524,8.702346054,8.752311613,8.61681004,9.445087914,8.733988854,8.776353612,9.281492191,9.29675,
"Korea, Rep.",KOR,Lending interest rate (%),FR.INR.LEND,8.5,9,8.84,11.87666667,15.27916667,9.395833333,8.545,7.708333333,6.769166667,6.236666667,5.904166667,5.593333333,5.9875,6.551666667,7.168333333,5.649166667,5.511666667,5.7575,5.395833333,4.643333333,4.263333333,3.533333333,
Kosovo,KSV,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,14.77059256,14.00366627,14.56757006,14.05603713,13.78533918,14.0869,13.97,13.3,12.24,10.9,9.29,7.69,
