Country Name,Country Code,Indicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Switzerland,CHE,Real interest rate (%),FR.INR.RINR,4.270039103,4.705030534,4.754248373,4.686996248,4.197766208,3.714488829,2.891326804,3.237320807,4.27498652,2.301013739,2.798962438,2.463672619,1.059852154,0.868665923,1.396370538,2.330407468,2.437693854,2.512199235,2.908144239,2.709464897,3.424461634,4.023805887,
Channel Islands,CHI,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Real interest rate (%),FR.INR.RINR,5.810964894,7.008549905,14.25168705,10.93339795,17.89868686,9.949546892,4.139683923,7.750283732,3.396952047,0.300365988,-2.187111298,-0.81304306,-4.263989621,3.650675169,12.72853682,3.282272751,-3.744449268,5.580206394,9.129627259,6.816659208,2.41101581,1.14083948,
China,CHN,Real interest rate (%),FR.INR.RINR,-8.004027616,-1.400126337,3.350314069,6.925788378,7.372369382,7.214486385,3.742655757,3.724474961,4.694670627,2.658652627,-1.245650119,1.640412667,2.134746858,-0.335658386,-2.316757424,5.422714247,-1.054405574,-1.46035162,3.523559633,3.68272685,4.744581821,4.824974969,
Cote d'Ivoire,CIV,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Real interest rate (%),FR.INR.RINR,7.532691163,6.800900577,18.70193621,17.84374475,17.52864962,19.28828157,18.6006826,18.09398899,14.28807418,17.57956467,16.24642239,14.65064554,10.96167597,13.8353726,,,,,,,,,
"Congo, Rep.",COG,Real interest rate (%),FR.INR.RINR,-14.07855784,12.19010318,3.396907036,16.22975335,49.18454078,-5.686152437,-17.02942664,40.18815974,20.08824764,23.23957608,1.021136801,-3.018877199,-2.688201652,13.72350718,,,,,,,,,
Colombia,COL,Real interest rate (%),FR.INR.RINR,-3.365547854,20.08106901,21.49779219,14.87875352,23.93081159,11.67250781,-9.847107033,13.33248084,9.7752049,7.823797978,7.270509662,8.529274188,6.730149746,9.845884103,8.944131906,9.283784921,5.32007517,4.211476049,9.317552811,8.817178467,8.54775181,8.667079586,
Comoros,COM,Real interest rate (%),FR.INR.RINR,,,,,,7.423579109,17.2284743,3.102085691,7.515877628,6.394840599,7.362021116,10.65043234,7.166183786,6.717118104,6.111356987,7.396082331,7.212996997,8.683366325,8.167313646,8.623872617,8.20738337,,
Cabo Verde,CPV,Real interest rate (%),FR.INR.RINR,56.24807837,13.75974877,12.61503117,12.99971023,12.89347801,4.106653466,21.541268,7.31663459,13.58588744,7.444228971,20.30859851,14.34178057,4.984103114,1.654809797,6.222437435,8.614711628,10.48200376,6.948319046,9.295956569,10.00084729,11.88630659,8.637918003,
Costa Rica,CRI,Real interest rate (%),FR.INR.RINR,15.12567407,11.8685836,9.04712506,6.599058948,9.228683405,9.361409698,16.7444512,14.02608124,15.78495884,15.97196763,10.35348987,12.68462947,10.08009483,3.121398932,3.051752756,10.46607821,8.456689886,11.11497467,13.7915906,10.31044167,9.706715253,14.58471315,
Caribbean small states,CSS,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Real interest rate (%),FR.INR.RINR,3.383981974,-6.309451951,6.144603761,5.715149119,4.820444522,5.404943941,4.874304621,3.451646987,6.305275269,1.69400069,4.299104459,3.964494937,3.447940037,2.368804286,,,,,,,,,
Czech Republic,CZE,Real interest rate (%),FR.INR.RINR,0.691074541,3.383639538,2.309772362,4.342208135,2.516775052,5.579941146,5.389154343,2.27523424,3.941019356,4.807172421,1.9388259,5.668566966,4.837252413,2.17811473,4.144107754,3.263192809,7.446172933,5.951555178,3.964114793,3.506337086,2.112202512,3.523231245,
Germany,DEU,Real interest rate (%),FR.INR.RINR,9.114404701,8.794895861,9.337337805,8.843542178,8.356062449,8.464274453,10.12533039,8.622063246,8.235720695,,,,,,,,,,,,,,
Djibouti,DJI,Real interest rate (%),FR.INR.RINR,,,7.643688109,8.003429619,8.874794439,9.244960831,9.313964833,9.32249683,10.58551927,9.418881918,7.981016738,7.992936338,7.817358953,5.72605086,0.011605793,11.47430834,6.243020171,6.080339868,7.481150392,9.313403559,9.407891783,,
Dominica,DMA,Real interest rate (%),FR.INR.RINR,5.305196994,9.349203427,8.372307453,8.544111343,11.0899869,8.261055662,-10.63243148,9.29843242,10.77841868,15.82068037,5.07477499,11.12618659,6.935938693,7.537207365,7.406311454,1.821426932,9.201339796,7.152308774,11.28959607,5.069620357,9.292377894,8.931189738,
Denmark,DNK,Real interest rate (%),FR.INR.RINR,8.289410157,8.955610456,6.553859405,5.598405855,6.586603397,5.350121784,4.908887463,5.542074331,4.643279291,,,,,,,,,,,,,,
Dominican Republic,DOM,Real interest rate (%),FR.INR.RINR,16.78662014,19.44899694,19.62804702,11.3613964,18.53051379,20.84024472,18.59880243,18.22431124,19.51544056,-1.677793087,-8.648573695,20.8527197,13.35426002,2.724205707,8.655321932,14.24222195,6.141221513,5.978818786,10.58920094,10.59506076,12.27457928,13.23694905,
Algeria,DZA,Real interest rate (%),FR.INR.RINR,-10.13161271,-7.90216594,-4.049207359,8.136645381,15.1040086,-0.095986874,-10.33401491,10.02046345,7.16824929,-0.18990781,-3.784155212,-6.997060823,-2.303728589,1.508201047,-6.339896508,21.5690632,-6.992747229,-8.651090564,0.509645755,8.121396453,8.446892996,14.92319749,
East Asia & Pacific (excluding high income),EAP,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Real interest rate (%),FR.INR.RINR,25.20282591,47.94752825,52.23397805,33.65973439,55.42766328,59.32130225,26.90815005,-9.486799659,3.325805237,2.755025138,5.455721593,1.751336812,1.671699777,,,,,,,,,,
"Egypt, Arab Rep.",EGY,Real interest rate (%),FR.INR.RINR,7.43541938,4.552157642,7.913220474,3.562251891,8.782552708,11.99072946,7.893586088,11.21448513,10.27879401,6.327025944,1.526754755,6.52324158,4.879935235,-0.077452679,0.103899026,0.721433172,0.810946579,-0.512994867,-5.268507905,3.016245887,0.17527826,0.616849195,
Euro area,EMU,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Real interest rate (%),FR.INR.RINR,4.878384406,4.873138683,4.857212348,3.609695242,2.419298478,1.247056454,1.839489412,1.041792591,0.183194073,,,,,,,,,,,,,,
Estonia,EST,Real interest rate (%),FR.INR.RINR,,,-7.848481741,1.443842801,6.641011616,3.387948333,3.540657444,1.368995039,1.57654749,1.162931184,0.751296298,-1.077764695,-3.532145203,-4.530413587,0.982239076,8.916711391,6.118498001,0.813355278,2.959887212,1.33870128,2.689842833,3.025507287,
Ethiopia,ETH,Real interest rate (%),FR.INR.RINR,11.07755928,2.108988394,13.64489862,10.27211655,10.66616172,8.177187481,1.303568618,17.63548321,12.74394789,-5.114907984,2.972377117,-2.617063504,-4.080908925,-8.292553686,-17.12177624,,,,,,,,
European Union,EUU,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Real interest rate (%),FR.INR.RINR,5.960979734,3.409646896,6.262760419,3.108885161,2.170214516,3.725719924,3.912636408,2.377373372,3.813680672,3.907997705,3.062583259,,,,,,,,,,,,
Fiji,FJI,Real interest rate (%),FR.INR.RINR,10.51158902,9.965307481,8.010362072,7.323353742,1.999382884,1.830090258,13.70350213,4.82106116,4.581426513,-0.251529493,4.822163058,-0.035365959,3.494674572,5.876866974,6.552432866,6.374077243,3.127573479,-7.265355981,3.355639811,2.999848522,2.17990193,2.508232422,
France,FRA,Real interest rate (%),FR.INR.RINR,6.890685151,6.891102211,5.326624064,5.4119605,5.545044695,6.125084842,5.078235552,4.876781902,4.436653024,4.639557137,4.874219006,,,,,,,,,,,,
Faroe Islands,FRO,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Real interest rate (%),FR.INR.RINR,,12.27728601,13.08042159,14.26119525,11.52847332,16.22189761,14.09543608,14.00846672,15.25045548,15.45187166,14.1764758,13.99650184,13.99092118,10.41544141,9.126964555,9.701726809,11.37854415,10.61339807,9.47925102,14.28123944,11.06623791,,
Gabon,GAB,Real interest rate (%),FR.INR.RINR,-19.82337557,14.46715263,7.429662191,20.85605294,48.39394236,2.356433117,-4.753981421,20.8705256,16.99871585,18.25675954,9.497234735,0.405652882,4.438967225,8.216182395,,,,,,,,,
United Kingdom,GBR,Real interest rate (%),FR.INR.RINR,4.191475923,3.938022159,1.865777547,4.148805747,5.523886409,4.191808224,3.568165156,4.027790759,1.45466066,0.939834878,1.436740964,1.68297469,1.603997778,2.574535317,1.764719688,-1.375897334,-2.532556408,-1.563418231,-1.107699076,-1.456129255,-1.313391754,,
Georgia,GEO,Real interest rate (%),FR.INR.RINR,,,10.77523738,40.5833008,26.94481322,18.17248747,19.09352305,16.03063905,16.67290768,19.65762185,12.66025659,8.916772296,7.904696403,6.739977799,7.599053317,20.28232852,6.726727052,5.062819974,13.5916418,14.46746476,7.833099456,6.339861728,
Ghana,GHA,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
